state,max_scenario,max_analysis,max_value,min_scenario,min_analysis,min_value,std,mean,mid_value,diff,majority
WA,Electrification,v6.2jedi_low,1.4185461590693869,High_RE_Cost,v6.2jedi_low,0.6946572911227157,0.19850340873134756,0.8674859730324306,0.7479510674015412,0,1.0
OR,Low_RE_Cost,v6.2jedi_low,2.5054785396988053,Low_NG_Price,v6.2jedi_low,0.6410209495970671,0.4746342213841274,1.0759307899029935,0.7225257287650939,0,1.0
CA,Electrification_EnhancedFlex,v6.2jedi_high,2.2606089778201075,High_RE_Cost,v6.2jedi_low,1.293476733098293,0.23917943562345792,1.5492515119508903,1.4809313959246395,0,1.0
ID,Electrification,v6.2jedi_low,2.969589266923016,High_NG_Price,v6.2jedi_low,0.8803780310716272,0.44896867042464267,1.5782098240673401,1.7574950132528298,0,1.0
NV,Electrification_EnhancedFlex,v6.2jedi_high,1.4844251540943951,Low_Nuclear_CCS_Cost,v6.2jedi_low,0.7780739566623448,0.18120498635845803,1.0989744203162288,0.919463165061628,0,1.0
UT,Low_NG_Price,v6.2jedi_high,1.0334072301595918,Low_RE_Cost,v6.2jedi_low,0.3277104859490844,0.19487702688302758,0.6717802240007429,0.6170007665542965,0,1.0
AZ,Electrification,v6.2jedi_low,1.5098170571586715,High_RE_Cost,v6.2jedi_low,0.8165855722227819,0.1759303656026905,1.1409058510455012,1.1566149183213614,0,1.0
MT,Electrification,v6.2jedi_low,1.0062995955181782,Low_Nuclear_CCS_Cost,v6.2jedi_low,0.32335229152099504,0.18556251796497822,0.5653593751464114,0.35722426484345804,0,1.0
WY,High_RE_Cost,v6.2jedi_high,0.3569102683685695,Low_Everything,v6.2jedi_low,-0.1825021505515288,0.15033165653775132,0.12794379734120073,0.13405869174157864,1,0.8125
CO,Low_Trans,v6.2jedi_low,1.0215737745082527,High_RE_Cost,v6.2jedi_high,0.559741059243356,0.10466443749074084,0.7682984546409926,0.8002673015437523,0,1.0
NM,Electrification_EnhancedFlex,v6.2jedi_low,2.3178009358513862,Low_Demand_Growth,v6.2jedi_high,0.7412347943054661,0.37795025051067027,1.1229855960514297,1.045247834138082,0,1.0
ND,Electrification,v6.2jedi_low,2.4720890585817776,Low_NG_Price,v6.2jedi_high,0.4688877464566685,0.4753424003924899,0.967048723009624,0.6176886258973789,0,1.0
SD,Electrification_EnhancedFlex,v6.2jedi_low,2.830777098062392,Low_NG_Price,v6.2jedi_low,0.5247295845736021,0.5902427149494895,1.3565253814916876,1.3383042927231448,0,1.0
NE,High_RE_Cost,v6.2jedi_low,3.496935279964277,Low_Everything,v6.2jedi_low,1.528826314502635,0.45757549211188386,2.060360453991327,2.185948378124564,0,1.0
KS,Low_Nuclear_CCS_Cost,v6.2jedi_low,3.28395654558062,Low_RE_Cost,v6.2jedi_high,0.9898054396879824,0.5199314675508976,1.6176505337371303,1.0324831465907107,0,1.0
OK,High_RE_Cost,v6.2jedi_low,2.3249755799421767,High_NG_Price,v6.2jedi_low,0.8591401355431498,0.31393643974395635,1.2146315561566505,1.3613855537259112,0,1.0
TX,Electrification_EnhancedFlex,v6.2jedi_low,1.4973608481711778,High_RE_Cost,v6.2jedi_low,0.9783323806352016,0.14156483859736296,1.1311518782949506,1.0924251576315005,0,1.0
MN,Electrification_EnhancedFlex,v6.2jedi_low,1.6952646372617788,Low_Demand_Growth,v6.2jedi_low,0.8133526603742265,0.21584935122706483,1.0634088651111229,0.932509133989896,0,1.0
IA,Electrification_EnhancedFlex,v6.2jedi_high,2.508288868557715,High_RE_Cost,v6.2jedi_low,0.6731626450932516,0.37045493789081296,1.5214891886221855,1.4214683025116661,0,1.0
MO,Electrification,v6.2jedi_low,2.4930985784244504,Reduced_RE_Resource,v6.2jedi_high,0.9636460754925372,0.3462702821149567,1.2686222399259814,1.2320686177976068,0,1.0
AR,High_Demand_Growth,v6.2jedi_low,1.7296699915720677,High_RE_Cost,v6.2jedi_mid,0.8738511778795135,0.24421528475430085,1.15331218256505,0.9881705431300876,0,1.0
LA,Electrification_EnhancedFlex,v6.2jedi_mid,1.6806201586902525,Low_NG_Price,v6.2jedi_mid,0.7079349652498653,0.2454899450422386,1.0496839069475754,1.0602471306013717,0,1.0
WI,Electrification_EnhancedFlex,v6.2jedi_high,2.1929940320929666,Low_NG_Price,v6.2jedi_low,0.7452336529252978,0.38266024550732647,1.2740752163790436,1.3152138927887682,0,1.0
IL,Low_NG_Price,v6.2jedi_high,1.3029009372800648,High_NG_Price,v6.2jedi_high,0.5400902799790286,0.19687638133689012,0.887037189094913,0.7707018253517481,0,1.0
IN,Electrification_EnhancedFlex,v6.2jedi_low,1.6204477952388483,Low_RE_Cost,v6.2jedi_high,0.7120506842329736,0.24139018157359257,1.133748345965669,1.2863983958760197,0,1.0
KY,Low_NG_Price,v6.2jedi_mid,1.742611165348647,High_NG_Price,v6.2jedi_high,0.5853732549364532,0.2794940244535468,1.3637427527906736,1.3481925720543615,0,1.0
TN,Electrification,v6.2jedi_low,1.1484089192182414,Low_NG_Price,v6.2jedi_high,0.6935704902990169,0.11547062239929068,0.9293702117834508,1.0213557847371673,0,1.0
MS,High_NG_Price,v6.2jedi_low,3.953419457153492,Low_NG_Price,v6.2jedi_high,0.5018409993628057,0.9284345442614568,1.4218494528525827,0.9369411337853744,0,1.0
MI,Electrification,v6.2jedi_low,1.8416867474969765,Low_NG_Price,v6.2jedi_low,0.6542549325404527,0.37073514590025813,0.988111547896319,0.7196216912910215,0,1.0
OH,Electrification_EnhancedFlex,v6.2jedi_high,2.0083395646705715,High_NG_Price,v6.2jedi_high,0.9386068632594706,0.263164771069251,1.4168639289389375,1.4249372578368902,0,1.0
WV,High_NG_Price,v6.2jedi_high,0.9079224412744424,Low_Demand_Growth,v6.2jedi_high,0.03254806322995872,0.2544278607810896,0.34131043112914217,0.16017056524212514,0,1.0
NC,Electrification,v6.2jedi_high,2.0670902170197647,High_RE_Cost,v6.2jedi_low,0.9247948502490844,0.3248701098823457,1.1886069684564518,1.0801038174889441,0,1.0
AL,Electrification_EnhancedFlex,v6.2jedi_mid,0.9053615015783868,Reduced_RE_Resource,v6.2jedi_mid,0.3570953606384574,0.15653401543525422,0.5190021485384474,0.4461689865155472,0,1.0
PA,Electrification,v6.2jedi_low,1.3416266806584352,High_NG_Price,v6.2jedi_high,0.3331083622988095,0.20540697700431249,0.8972516473188891,0.8800202444367996,0,1.0
VA,Electrification,v6.2jedi_low,0.5661476137747784,High_RE_Cost,v6.2jedi_mid,0.3403600439138027,0.060447863761439395,0.4126608277423854,0.3710842445075342,0,1.0
SC,Low_RE_Cost,v6.2jedi_high,2.5357547934719995,High_RE_Cost,v6.2jedi_low,1.1288201506808675,0.41919718623572005,1.826057986971472,1.6787403817114426,0,1.0
GA,Electrification,v6.2jedi_high,1.7738104239946346,Low_NG_Price,v6.2jedi_low,0.749348789552577,0.2917577911220169,1.0263052955076606,0.8668499253516643,0,1.0
VT,Electrification,v6.2jedi_low,3.0208175509108077,High_RE_Cost,v6.2jedi_low,0.7155218565124338,0.5972986677711424,1.390667680999628,1.5406807348010876,0,1.0
NY,Electrification,v6.2jedi_low,1.0864093210847756,PTC_ITC_Ext,v6.2jedi_high,0.5138719771646099,0.14623148543994055,0.6603176347261794,0.5974973419464341,0,1.0
NJ,Electrification_EnhancedFlex,v6.2jedi_low,0.5747191456489471,High_RE_Cost,v6.2jedi_high,0.4347892356338435,0.03894568322297329,0.47205859022999225,0.4614881670548242,0,1.0
MD,Electrification,v6.2jedi_high,0.9057937139508628,High_NG_Price,v6.2jedi_high,0.4465133502084712,0.1289365128070371,0.6301268316386238,0.591511066225985,0,1.0
FL,Electrification,v6.2jedi_high,2.3392880184860383,High_RE_Cost,v6.2jedi_low,1.0529125276068552,0.39094279070673876,1.5552677093957632,1.3310974268950522,0,1.0
NH,Electrification,v6.2jedi_low,2.2707067278124478,High_RE_Cost,v6.2jedi_high,0.6724087441152501,0.4155204552116052,1.232469627101856,1.050256824208748,0,1.0
