state,1,2,3,4,5,emissions,scenario,analysis
AL,1.347622079632723,0.5096892349300106,0.7744844291088038,0.6294703529218217,0.5242891281488813,NNP,Low_RE_Cost,v6.2jedi_mid
AR,2.4310440246171603,1.2455818347635523,1.3915519523816076,0.9188929130194236,0.7369312931263347,NNP,Low_RE_Cost,v6.2jedi_mid
AZ,1.8730817098330865,1.2377395376084366,1.1998975462547978,0.8894434811032584,0.7008637565441732,NNP,Low_RE_Cost,v6.2jedi_mid
CA,1.6844456705140431,1.4159525569927331,1.3976664548241942,1.0810184738992132,0.732937349022386,NNP,Low_RE_Cost,v6.2jedi_mid
CO,0.1806047740495182,0.6432717990421163,0.591261968786934,0.7394288513766871,0.44132401918247643,NNP,Low_RE_Cost,v6.2jedi_mid
CT,0.10410514461122135,0.85727256805939,0.8300641611986475,0.7042975074075125,0.5934307211990476,NNP,Low_RE_Cost,v6.2jedi_mid
DE,3.8562470649133602,2.5760750638576,1.7907517561142434,1.5446698045325267,0.6814434476131627,NNP,Low_RE_Cost,v6.2jedi_mid
FL,0.9968600508443727,1.8504151938183135,1.6772051949049847,1.2608188583985633,0.6826653069205999,NNP,Low_RE_Cost,v6.2jedi_mid
GA,1.5250045833166264,1.3148469866089334,1.237941585893093,0.8821157311224637,0.7256583215955281,NNP,Low_RE_Cost,v6.2jedi_mid
IA,1.428376611363246,1.4423080933850594,1.3402947649966253,1.168882659124693,0.896737868741613,NNP,Low_RE_Cost,v6.2jedi_mid
ID,1.1531335220912284,1.0017309731447404,1.0734463211185037,0.8617969067777888,0.7922357115464265,NNP,Low_RE_Cost,v6.2jedi_mid
IL,0.4090562395003532,0.7933777720983646,0.9534661510575223,0.7960471161187536,0.6254573920239751,NNP,Low_RE_Cost,v6.2jedi_mid
IN,0.3001529653379651,0.7254731801591228,1.1080696518053696,0.6788733792711988,0.30808491627520274,NNP,Low_RE_Cost,v6.2jedi_mid
KS,1.2781753351650944,1.0079668845861112,0.9908449586173858,0.6982970338541755,0.5250200209662007,NNP,Low_RE_Cost,v6.2jedi_mid
KY,0.7290507391740455,1.1780345961332352,1.620404151519469,1.1982272958309677,0.7807689297997557,NNP,Low_RE_Cost,v6.2jedi_mid
LA,0.6341761353602603,0.8345171528609324,0.904018712243482,0.7877942289166294,0.7045708719662723,NNP,Low_RE_Cost,v6.2jedi_mid
MA,0.8229280058713069,0.6384855149702459,0.2757798245592118,0.08248599043437511,-0.16062984424299787,NNP,Low_RE_Cost,v6.2jedi_mid
MD,0.5898997265811515,0.5949950371610846,0.5635975139857903,0.36308359327125816,0.2664095767546024,NNP,Low_RE_Cost,v6.2jedi_mid
ME,1.0384025190454822,0.6822694630108375,0.5344982605594739,0.37285552740644956,0.060531081726554664,NNP,Low_RE_Cost,v6.2jedi_mid
MI,1.1144324212603283,1.1959600913180437,1.3413437121163931,0.9792034900765436,0.823116339493658,NNP,Low_RE_Cost,v6.2jedi_mid
MN,1.078491080675555,1.0416530254373204,0.9516801323974864,0.8257135948927489,0.6407265089685166,NNP,Low_RE_Cost,v6.2jedi_mid
MO,1.9084803524593186,1.0845330407500078,1.152399261005622,0.8709170391674643,0.6593161455671539,NNP,Low_RE_Cost,v6.2jedi_mid
MS,0.6640407766031429,2.399218364058687,2.092062089232826,1.2014434592700107,0.7438687930661833,NNP,Low_RE_Cost,v6.2jedi_mid
MT,0.16504358101974778,0.42680356463818064,0.5049464129374869,0.547607807170974,0.37935101142788596,NNP,Low_RE_Cost,v6.2jedi_mid
NC,1.497956460598072,1.1273529862230665,1.1345134873214744,0.8743054136654834,0.7214120821578814,NNP,Low_RE_Cost,v6.2jedi_mid
ND,-0.13025918467219444,0.6729415606313649,1.021293238990327,0.7832351666100369,0.6709064993890139,NNP,Low_RE_Cost,v6.2jedi_mid
NE,1.791502288589562,1.5479543336662365,1.2110982973991524,0.8160717706740666,0.3696963570998786,NNP,Low_RE_Cost,v6.2jedi_mid
NH,1.9261705461251015,1.457219883252863,1.5746240020321778,0.900006102589439,0.6767411050993186,NNP,Low_RE_Cost,v6.2jedi_mid
NJ,0.6277046992401079,0.47786223448639426,0.186563151408779,0.100683760334262,-0.026692373912716692,NNP,Low_RE_Cost,v6.2jedi_mid
NM,0.06951405850042655,1.0268664282605608,1.3100704261406717,1.055192299797696,0.7898930488761599,NNP,Low_RE_Cost,v6.2jedi_mid
NV,0.4912918523836131,0.9658745491818838,0.7720282178956253,0.9838259925666831,0.8030589477418856,NNP,Low_RE_Cost,v6.2jedi_mid
NY,0.729425331915506,0.6532109191518269,0.43206884786000344,0.23236390396329668,-0.03844105838937898,NNP,Low_RE_Cost,v6.2jedi_mid
OH,1.1116027094190568,1.4450128171487722,1.8920083491061992,1.1584833089441147,0.8532440607207211,NNP,Low_RE_Cost,v6.2jedi_mid
OK,0.4433247508348219,1.1147683927100387,0.8041320700207298,0.9670185721237575,0.7021180479154705,NNP,Low_RE_Cost,v6.2jedi_mid
OR,3.520495572320702,2.185428453433307,2.0549288151443132,1.2751096912243867,1.0793169050873617,NNP,Low_RE_Cost,v6.2jedi_mid
PA,0.5043106350795424,0.6829263658984632,0.8417248173425623,0.6932458988898655,0.6067282850584079,NNP,Low_RE_Cost,v6.2jedi_mid
RI,0.1140940071335409,-0.03814065643488536,-0.17505314643186515,-0.23242276696020064,-0.2864967593325307,NNP,Low_RE_Cost,v6.2jedi_mid
SC,1.6784841564668604,2.446854550191402,1.9530491415866338,1.2519354929849276,0.8447457570180076,NNP,Low_RE_Cost,v6.2jedi_mid
