state,max_scenario,max_analysis,max_value,min_scenario,min_analysis,min_value,std,mean,mid_value,diff,majority
WA,Electrification,v6.2jedi_low,1.3913443737529512,PTC_ITC_Ext,v6.2jedi_low,0.7209263024591823,0.17467504964880526,0.865273617298082,0.7638030950261179,0,1.0
OR,Low_RE_Cost,v6.2jedi_low,2.498985264570289,Low_Demand_Growth,v6.2jedi_low,0.6842442791893865,0.4302369305522026,1.0561233958124594,0.7413745252534301,0,1.0
CA,Low_Nuclear_CCS_Cost,v6.2jedi_high,2.1599958425353334,Reduced_RE_Resource,v6.2jedi_low,1.265137215915665,0.2491244858744818,1.5640100365991885,1.4931001471049694,0,1.0
ID,Electrification,v6.2jedi_low,3.4186406626207577,High_NG_Price,v6.2jedi_low,0.9547473961734192,0.5312234709287108,1.7878627479863043,2.033061478589029,0,1.0
NV,High_RE_Cost,v6.2jedi_low,1.7077140609201429,Low_RE_Cost,v6.2jedi_low,0.6359678623174915,0.32048314791851984,1.1336098125225385,0.7979867875647004,0,1.0
UT,Electrification,v6.2jedi_low,1.6474035593363534,Low_RE_Cost,v6.2jedi_low,0.6134295550951419,0.2625087583091773,0.9465740052543418,0.7881490383739216,0,1.0
AZ,Electrification,v6.2jedi_low,1.320997789216878,Low_NG_Price,v6.2jedi_low,0.7253525298727113,0.16177869879137288,1.0218259543264503,0.9992705001149212,0,1.0
MT,Electrification,v6.2jedi_low,1.0615778235300912,Low_Nuclear_CCS_Cost,v6.2jedi_low,0.4068285657391082,0.15980906139661233,0.6297669789910042,0.4535757669156063,0,1.0
WY,Electrification,v6.2jedi_low,0.33435433962840017,Low_Everything,v6.2jedi_low,-0.1845466999565034,0.1477167354171953,0.10455309853220747,0.08461626407858495,1,0.75
CO,Low_Trans,v6.2jedi_low,1.4147314846883028,High_NG_Price,v6.2jedi_low,0.3700879217219703,0.22596407921122424,0.844921593530393,0.9523767983507736,0,1.0
NM,Electrification_EnhancedFlex,v6.2jedi_low,3.074524974388172,High_Trans,v6.2jedi_high,0.9844657942124172,0.4882677744031769,1.460102496178141,1.5241680533171282,0,1.0
ND,Electrification,v6.2jedi_low,4.198984546972273,PTC_ITC_Ext,v6.2jedi_high,0.7122177405289786,0.8142306480749936,1.4545362884862592,0.7921405422721504,0,1.0
SD,Electrification_EnhancedFlex,v6.2jedi_low,3.114779283659312,Mid_Case_Base_Flex,v6.2jedi_low,0.5835930159695718,0.5986479412094635,1.357086866812482,1.3583041061095904,0,1.0
NE,High_RE_Cost,v6.2jedi_low,4.362499432353959,Low_Everything,v6.2jedi_low,1.0075481259302552,0.6669589512280254,1.7923973801346895,2.1745608547542385,0,1.0
KS,Low_Nuclear_CCS_Cost,v6.2jedi_low,4.226181512114883,Mid_Case,v6.2jedi_high,0.94965976690886,0.7534522755625581,1.7417196374230572,0.9605984132466576,0,1.0
OK,High_RE_Cost,v6.2jedi_low,2.8828818343587628,High_NG_Price,v6.2jedi_low,0.5166676008817059,0.47464322080651167,1.0922003414899846,1.2601712536679406,0,1.0
TX,Electrification_EnhancedFlex,v6.2jedi_low,1.5894707684683578,Low_NG_Price,v6.2jedi_low,0.8917961224128472,0.1781813528356553,1.1155444101295497,1.090265887103562,0,1.0
MN,Electrification_EnhancedFlex,v6.2jedi_low,1.7989997127636934,Low_Demand_Growth,v6.2jedi_low,0.7703444250823775,0.2407862024966791,1.0423812127681882,0.8853937594153564,0,1.0
IA,Electrification_EnhancedFlex,v6.2jedi_high,2.3489107420699584,High_RE_Cost,v6.2jedi_low,0.6821332574361779,0.36614724930923764,1.4793307925327808,1.3103065533662304,0,1.0
MO,Electrification,v6.2jedi_low,3.034357988999468,Low_RE_Cost,v6.2jedi_high,1.12231172887292,0.4106529431132806,1.5332887426451662,1.3655242929805431,0,1.0
AR,High_Demand_Growth,v6.2jedi_low,2.146336204320616,Mid_Case_Base_Flex,v6.2jedi_high,0.8832166553303894,0.2932355831818405,1.3352303370015577,1.2341479064485217,0,1.0
LA,Electrification_EnhancedFlex,v6.2jedi_mid,1.5842038244421028,Low_NG_Price,v6.2jedi_low,0.4364593774948422,0.31221957710886966,0.9224804662494388,0.8450288737890865,0,1.0
WI,Electrification,v6.2jedi_low,2.134058364120178,Low_Everything,v6.2jedi_mid,0.8787646496510975,0.3407314453195035,1.3464335498022848,1.4323012937575823,0,1.0
IL,Electrification,v6.2jedi_low,1.275125442229737,Low_Nuclear_CCS_Cost,v6.2jedi_high,0.7232667175760731,0.14359864143516327,0.8913197451458399,0.7933873437529483,0,1.0
IN,Electrification_EnhancedFlex,v6.2jedi_low,1.9041882670371248,High_RE_Cost,v6.2jedi_low,0.6062767356854211,0.3297608296983305,1.1054922653114891,1.2775718481894651,0,1.0
KY,Electrification,v6.2jedi_low,2.244105270990477,High_NG_Price,v6.2jedi_high,1.03296654457337,0.327902311021572,1.6365877376297655,1.702979599830294,0,1.0
TN,Electrification,v6.2jedi_low,1.2194929158339458,Low_NG_Price,v6.2jedi_high,0.7418652320101166,0.11249379379864485,0.9572502281773803,1.0147043544104195,0,1.0
MS,High_NG_Price,v6.2jedi_low,3.7583695984180183,Low_NG_Price,v6.2jedi_mid,0.5565579819783437,0.7558593652765428,1.2521622104640604,0.8762891698383679,0,1.0
MI,High_NG_Price,v6.2jedi_low,1.7613888615989164,Low_NG_Price,v6.2jedi_low,0.7739806998102099,0.29972449328042633,1.0640994262270227,0.7987751595978644,0,1.0
OH,Electrification,v6.2jedi_low,2.3577539819375817,Low_Everything,v6.2jedi_low,1.0515964407169245,0.3064925791231104,1.6119437013565008,1.5591373314343178,0,1.0
WV,Electrification,v6.2jedi_high,1.1590422126511069,Low_NG_Price,v6.2jedi_low,0.1986567020454086,0.2688497507645595,0.5980194757164542,0.4224821234112297,0,1.0
NC,Electrification,v6.2jedi_high,2.171778387438646,Low_RE_Cost,v6.2jedi_mid,1.1345134873214744,0.28064847613754446,1.3181203254840974,1.1643150140629241,0,1.0
AL,Electrification_EnhancedFlex,v6.2jedi_high,1.0461492784954396,Reduced_RE_Resource,v6.2jedi_low,0.5097461916749323,0.1673791290915398,0.6943906946573982,0.5934443585328416,0,1.0
PA,Electrification,v6.2jedi_low,1.6247272460457258,High_NG_Price,v6.2jedi_high,0.7256231769536529,0.17711860898514856,1.0310371024267644,0.9864426896323216,0,1.0
VA,High_NG_Price,v6.2jedi_low,0.7712557661294447,High_RE_Cost,v6.2jedi_mid,0.3319618741277098,0.09716706330829426,0.44624687625548315,0.3717761197980081,0,1.0
SC,Low_RE_Cost,v6.2jedi_low,1.9893457436065416,Low_Trans,v6.2jedi_mid,0.9897768299961116,0.2795205485609973,1.513775516910319,1.4159262793860274,0,1.0
GA,Electrification,v6.2jedi_low,1.446139942511692,PTC_ITC_Ext,v6.2jedi_low,0.7754428726274298,0.1912847818542701,0.9944431849046516,0.9041807444137424,0,1.0
VT,High_NG_Price,v6.2jedi_low,3.2945238546874283,Low_NG_Price,v6.2jedi_low,0.7177962331422103,0.7343778243306354,1.5129903606534967,1.8026276160106751,0,1.0
NY,Electrification,v6.2jedi_low,0.8194408952100951,PTC_ITC_Ext,v6.2jedi_high,0.3165131667498203,0.11958189592326293,0.4421156925274828,0.3904111887808259,0,1.0
NJ,Electrification_EnhancedFlex,v6.2jedi_low,0.2295570030099465,High_Trans,v6.2jedi_high,0.16499864444321738,0.017458210059855917,0.1845177017437766,0.1803249033085294,0,1.0
MD,Electrification,v6.2jedi_high,1.1781847160768082,Mid_Case_Base_Flex,v6.2jedi_high,0.4083368981796516,0.20695321842514736,0.680836111023341,0.592092291032712,0,1.0
FL,Electrification_EnhancedFlex,v6.2jedi_high,2.1384442817081144,High_RE_Cost,v6.2jedi_low,1.118198998381786,0.3068310815058556,1.4904220306759786,1.3224662388859014,0,1.0
NH,Electrification,v6.2jedi_low,2.7078629771866694,High_RE_Cost,v6.2jedi_high,0.7452525941009641,0.507560573980326,1.3406028068413933,1.1000583957287613,0,1.0
MA,Electrification,v6.2jedi_low,0.4776283954048681,Low_Demand_Growth,v6.2jedi_mid,0.17458219984276888,0.0777529048524099,0.2527124711026792,0.1975352889825788,0,1.0
CT,Electrification,v6.2jedi_high,1.3263462669091446,Low_Everything,v6.2jedi_low,0.7235737207846388,0.17072492950272605,0.9007306801405136,0.8650396343917877,0,1.0
DE,Electrification_EnhancedFlex,v6.2jedi_high,5.964572403056178,Low_Trans,v6.2jedi_low,0.7539845717346929,1.573821223966958,2.0938128810651477,1.3143692877489623,0,1.0
ME,Electrification_EnhancedFlex,v6.2jedi_low,1.7584897740366845,Low_Everything,v6.2jedi_low,0.4335263864452021,0.29034209373335845,0.8333813985423731,0.6978383143225149,0,1.0
RI,Electrification,v6.2jedi_low,-0.12955205054479202,Mid_Case_Base_Flex,v6.2jedi_high,-0.2070360319934534,0.018201843713338484,-0.18418579482076136,-0.20244738740857404,0,1.0
