state,max_scenario,max_analysis,max_value,min_scenario,min_analysis,min_value,std,mean,mid_value,diff,majority
WA,Electrification,v6.2jedi_high,0.9190350422477066,Reduced_RE_Resource,v6.2jedi_low,0.6815899640784704,0.06383129908535329,0.7408945916410158,0.7030642968786474,0,1.0
OR,Low_RE_Cost,v6.2jedi_mid,1.0793169050873617,Low_Demand_Growth,v6.2jedi_low,0.6394265772533921,0.1344222721378755,0.764225261126935,0.6633146678906583,0,1.0
CA,Low_Nuclear_CCS_Cost,v6.2jedi_high,2.4401649567689034,Low_Everything,v6.2jedi_low,0.6854248627197483,0.40040614420740067,0.8748291704719193,0.7650916515062817,0,1.0
ID,Electrification,v6.2jedi_high,2.573485887585184,High_NG_Price,v6.2jedi_low,0.7495335231179132,0.43385819325161296,1.4558551200568661,1.5970435449263043,0,1.0
NV,High_RE_Cost,v6.2jedi_low,1.58358596963541,Low_RE_Cost,v6.2jedi_high,0.7943362404319151,0.18221877365527725,1.0989584946384316,1.0118244539630186,0,1.0
UT,Electrification_EnhancedFlex,v6.2jedi_high,0.7553551907518428,Low_RE_Cost,v6.2jedi_low,0.33381165470148405,0.11932847280886053,0.5298935714949444,0.4977921968571373,0,1.0
AZ,Electrification,v6.2jedi_low,0.7776186027627506,Reduced_RE_Resource,v6.2jedi_low,0.6761280672232765,0.02519435446688239,0.7179589258591762,0.7049449612914989,0,1.0
MT,High_NG_Price,v6.2jedi_low,0.8140190061255619,Low_Nuclear_CCS_Cost,v6.2jedi_high,0.3408557293239233,0.13714950592765512,0.48149931249757044,0.3479886250743261,0,1.0
WY,Electrification,v6.2jedi_low,0.3354084934979914,Low_Everything,v6.2jedi_high,-0.0956009994248564,0.12995104245532174,0.1741917726176747,0.15784878845191433,1,0.875
CO,Low_Trans,v6.2jedi_low,0.6084966100620356,High_NG_Price,v6.2jedi_high,0.3921217980260212,0.050298405260191685,0.4888359690292084,0.5058541951361478,0,1.0
NM,Electrification_EnhancedFlex,v6.2jedi_low,1.5270838864811174,Low_Demand_Growth,v6.2jedi_high,0.5629934036083596,0.25284056563128865,0.8108371686850123,0.7101980817249969,0,1.0
ND,Electrification,v6.2jedi_mid,1.64009371353198,Low_Everything,v6.2jedi_high,0.5767884744260533,0.27131224736512344,0.8856340345212222,0.7502473409275371,0,1.0
SD,Electrification_EnhancedFlex,v6.2jedi_low,1.2297298936130738,Low_NG_Price,v6.2jedi_low,0.5366242329934252,0.2044030293252513,0.8535799007927481,0.8449846012044714,0,1.0
NE,High_NG_Price,v6.2jedi_low,1.2794446758108926,Low_Everything,v6.2jedi_high,0.23103248059171114,0.2878973158326942,0.7385770285184496,0.8704732905958713,0,1.0
KS,Low_Nuclear_CCS_Cost,v6.2jedi_low,1.176480076974973,Low_RE_Cost,v6.2jedi_high,0.5211778920913418,0.1532309666154821,0.7893281623008023,0.6459818576783488,0,1.0
