state,max_scenario,max_analysis,max_value,min_scenario,min_analysis,min_value,std,mean,mid_value,diff,majority
WA,Electrification,v6.2jedi_low,1.0107609301640301,Reduced_RE_Resource,v6.2jedi_low,0.7017366373943226,0.08374174369354843,0.7769117722397075,0.7247086999726643,0,1.0
OR,Low_RE_Cost,v6.2jedi_low,1.364993579659001,Low_Demand_Growth,v6.2jedi_low,0.6626920372590557,0.19901619905510748,0.8522604551905933,0.7035020745835071,0,1.0
CA,Low_Nuclear_CCS_Cost,v6.2jedi_high,1.7989347401853086,High_RE_Cost,v6.2jedi_low,1.0082044536145842,0.203750691702837,1.1926855262774043,1.110897927152999,0,1.0
ID,Electrification,v6.2jedi_low,2.1699650590511244,High_NG_Price,v6.2jedi_low,0.7962718025018637,0.325274714080405,1.3495775662154206,1.4865391969219446,0,1.0
NV,High_RE_Cost,v6.2jedi_low,1.4617728653805109,Low_Nuclear_CCS_Cost,v6.2jedi_low,0.8998734446162721,0.16008080554394405,1.1588068781265757,1.0265631769123875,0,1.0
UT,Electrification,v6.2jedi_low,1.0431902520109315,Low_RE_Cost,v6.2jedi_low,0.4389142256495679,0.16756720094933308,0.6941557910000006,0.6347932514010516,0,1.0
AZ,Electrification,v6.2jedi_low,1.0237606222772169,High_RE_Cost,v6.2jedi_low,0.7520094411676028,0.07021739519089355,0.8706507617368505,0.8707353319741471,0,1.0
MT,High_NG_Price,v6.2jedi_low,0.8967174029172653,Low_Nuclear_CCS_Cost,v6.2jedi_low,0.4962914756388978,0.1148643912429448,0.6188491258375283,0.5085042766106226,0,1.0
WY,High_RE_Cost,v6.2jedi_high,0.3517354091713761,Low_Everything,v6.2jedi_high,-0.12015661438132345,0.13777993944386216,0.16510798289124673,0.16426484288293478,1,0.8125
CO,Low_Trans,v6.2jedi_low,0.9816652578272376,High_RE_Cost,v6.2jedi_high,0.5995161669028632,0.08626687242240567,0.8141231981809959,0.8272010368364789,0,1.0
NM,Electrification_EnhancedFlex,v6.2jedi_low,2.0753390008503483,High_RE_Cost,v6.2jedi_high,0.7394215435617251,0.3388689022454202,1.0666638277781886,0.9420904562747248,0,1.0
ND,Electrification,v6.2jedi_low,2.112668400999333,Low_NG_Price,v6.2jedi_high,0.6597466332344485,0.35332722144588974,1.0065679346936605,0.7959741894545829,0,1.0
SD,Electrification_EnhancedFlex,v6.2jedi_low,1.5349423106179096,Low_NG_Price,v6.2jedi_low,0.5671490956698998,0.2735238628074341,0.9888051004655529,0.9760145384434744,0,1.0
NE,High_RE_Cost,v6.2jedi_low,1.9759392723302351,Low_Everything,v6.2jedi_high,0.6961127613118494,0.31889911955662975,1.191546759449301,1.2865598178256217,0,1.0
KS,Low_Nuclear_CCS_Cost,v6.2jedi_low,1.863932525206391,Low_RE_Cost,v6.2jedi_high,0.6863934547219195,0.25334758095069976,1.0807007406286897,0.8063169423014179,0,1.0
OK,High_RE_Cost,v6.2jedi_low,1.5833026523248777,Low_Trans,v6.2jedi_high,0.8189400678359134,0.16403245349112705,1.0033430666727983,1.1146770280801084,0,1.0
TX,Electrification_EnhancedFlex,v6.2jedi_low,1.2048719006176785,Low_Trans,v6.2jedi_low,0.8163924610388296,0.10199539636735082,0.942675740327869,0.9265373581677336,0,1.0
MN,Electrification_EnhancedFlex,v6.2jedi_low,1.1252745613445874,Low_Demand_Growth,v6.2jedi_low,0.6768463296348193,0.11587093784780951,0.81671501823228,0.7462374692954955,0,1.0
IA,Electrification_EnhancedFlex,v6.2jedi_high,1.6913574701392067,High_RE_Cost,v6.2jedi_low,0.5621860939754224,0.23754409502632384,1.1586512109649059,1.0928384330168102,0,1.0
MO,Electrification,v6.2jedi_low,1.6173660096940472,Reduced_RE_Resource,v6.2jedi_high,0.7978667036688224,0.18900716900094097,0.9778364977348789,0.9500891067407996,0,1.0
