i,state,Agriculture,Mining,Construction,Manufacturing,Fabricated Metals,Machinery,Electrical Equipment,TCPU,Wholesale Trade,Retail Trade,FIRE,Misc. Services,Professional Services,Government
2022,AL,0.9207113935791655,2798.9177153108526,0.0,72.85704817733883,0.001154924410456597,239.82714455760345,116.09764793422129,7037.334700542425,483.88240369156443,145.69135347019085,1150.5750354723182,296.52656032089783,2949.972621959336,10.41980424173972
2022,AR,1.4659852781880063,3.1406584200015275,0.0,35.34031885655803,0.0006355872133667979,105.3645938623393,50.388294292859015,2269.890107420925,156.68730443630426,79.50848727636036,627.1949719357344,187.9056508602799,1087.2928588599164,6.624300052635622
2022,AZ,3.1090038074727295,0.024040900002106378,122.62036155300413,54.188873201817714,24.28799420425459,186.94823976713624,217.4762138619459,3982.544365291084,330.13378096118157,140.4549500966343,1127.8505290049502,292.3929326105166,2242.746457482806,23.64516226711403
2022,CA,65.34569445184007,188.4173761008562,0.0,320.21326143306794,101.63874982744038,116.9041159826112,1168.7439387258514,16348.406146703066,760.4246991873085,423.5665560766657,2594.7460315292115,869.2612793527256,2983.1265716619946,34.5361062546847
2022,CO,5.137500292713279,1144.010930535107,1.9438408204653024,36.176106655196406,2.829440409890918,17.86943016977783,98.33410779658604,3011.7759881993934,179.5154065790451,180.07499464781844,608.6068317560771,259.1765424301928,439.56363749504294,12.678564485496691
2022,CT,90.71264738414074,0.001655568799134686,0.0,21.498197938717485,0.0005493385482297986,79.58702316807727,42.0987773360626,1260.5036672476974,96.85804779573246,51.80754976569782,168.14482080955543,84.42873063029506,822.9647867550552,12.960311890349281
2022,DE,0.061959455173218395,0.00048255029668212406,0.0,2.332019434206853,0.0004768505512586509,0.9119098069476032,18.32329086294753,259.1664202669354,4.131918404481739,7.329683506979266,19.4980410351535,8.295218914732525,96.89830779726705,0.2157956996793775
2022,FL,37.03339411972055,838.4913880112091,0.0,131.26192757014474,0.0039327728189932154,235.81540635709766,214.36548362277415,8072.763390882887,372.41209995644016,279.8856328822357,1585.9200819826883,563.8763663102035,3654.385672995966,17.106413375588982
2022,GA,25.487195858920202,0.0062462036094572074,0.0,72.38202424712581,0.0013528645559242516,291.82851950860527,144.7169896246857,5646.798293215477,414.94811193132006,197.51716108206415,1183.9458918238954,395.5417860217043,3171.7262190209394,2.3260951724593437
2022,IA,3.626068023506464,0.0013287607864394054,0.0,28.780741338317124,0.0006990686756926999,16.180874896722383,16.51741065410559,2681.1323556025973,267.1959908717337,370.0049459628313,529.3727154724926,431.3052563904221,344.689674777033,27.485244146570103
2022,ID,9.826463195158302,0.004062942190188602,0.0,41.55563308828376,0.0005699015551100304,0.403093552368563,65.10328174408869,1031.1411259659403,165.3112678795756,39.93143227936571,666.4625050966511,102.63749328982354,284.2027986662855,7.158122187437738
2022,IL,1.700523168632657,3306.8790748525244,1200.0355710157028,65.30158475197995,0.0018937884415466285,349.7287541114114,58.119556679906296,10369.01441892807,524.3364608221377,311.7202484068739,1379.5062695005217,497.0048160170671,3287.6799105136874,28.69592846658626
2022,IN,0.6877765312033585,2564.6305786012417,142.765470126179,40.60202184873302,0.001062084650302329,54.98478057792166,26.863974561047286,5927.8338795330565,201.2299927291988,235.55759713278607,924.4495580263971,383.4405257898094,855.6165186257284,29.213062901400367
2022,KS,2.703253554848641,4.962414817926186,0.0,22.36424659373089,0.00041188460235153714,71.92827367142775,7.1199861380853795,2277.650515499099,205.21642312298317,223.07529436594288,521.0603358402233,317.05237587652505,701.9321626356817,18.85043123028381
2022,KY,0.48963243169816045,3642.432559134618,0.0,34.74934270898762,0.00015176256768467894,44.87934086984292,37.38201355914147,5517.40078205237,153.63521340132166,136.06025724640423,757.8250834558189,262.1216463607277,704.9910743325821,8.745250691917782
2022,LA,0.10563221894897548,759.0232274511235,1285.4852082733044,29.254254544519142,0.0004573560783250486,125.7960821273089,16.724672318468127,3538.2805397303405,166.45226730420748,73.24182266536552,822.8024159708956,138.6840379525066,1365.7702640204452,42.50632603981407
2022,MA,21.176202608885053,0.00449293492138949,241.10965035154064,66.96842792015066,12.235850006715784,3.373285065047303,700.1033935918603,3627.640433830235,40.39234572989769,48.08547371306058,139.7715526304377,147.91646094397828,3300.315927589527,14.610575603436923
2022,MD,0.7353731411192499,818.436496523625,73.95406107372081,36.01458488029971,3.9694309639706953,68.44823838093023,321.9271221271719,3577.6282603054424,150.52733576235875,69.85548943618686,350.0611427777113,149.33563198144407,1783.025736279103,4.812480650946276
2022,ME,0.31939058825941885,0.0006161417269442327,3.75630970012706,11.664014944150056,0.19736994928995313,0.8078513901807943,31.48149417750075,378.6497747514928,51.51896172317469,29.89320443158276,157.14479008120526,45.7100183324643,166.24602643885945,13.319342733531899
2022,MI,15.420711910003721,352.4280706680522,447.4290202117405,52.71429893654659,0.0007210688043331859,192.98708312679636,19.29832865721687,4553.901703045073,282.9291922395531,212.41277207879023,948.2704069356906,397.83435406727153,2020.646887623044,35.99129158619315
2022,MN,7.695836800897795,0.009483489455275008,0.0,35.55985023051887,0.0019901308591675593,96.3909529611659,81.06298465049152,2855.439941819933,202.67490123127786,186.79140561119786,561.007225744963,277.82980647200577,898.331286156538,16.388999334252887
2022,MO,1.24896184390215,13.567059244708334,0.0,30.3127147881981,0.0004078222931820512,90.30139377744248,25.376169556775665,3646.136910870056,199.13705147316426,195.95687680492705,802.8074766925776,344.7683819669305,1010.3089153254061,11.172945205213301
