state,Agriculture,Construction,Electrical Equipment,FIRE,Fabricated Metals,Government,Machinery,Manufacturing,Mining,Misc. Services,Plant Employees,Professional Services,Retail Trade,TCPU,Wholesale Trade
OH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.554385503695e-05,0.0,0.0,0.0,0.0,0.00010092053396564998,1.3578551559999995e-06
OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.801896895040001e-05,0.0,0.0,0.0,0.0,7.509836067804e-05,1.1874538759999998e-06
OR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.900411900668002e-05,0.0,0.0,0.0,0.0,9.477346309641001e-05,1.3295998100000005e-06
PA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.121335872402e-05,0.0,0.0,0.0,0.0,0.00011455167288726,1.2728083620000004e-06
RI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.781435493291998e-05,0.0,0.0,0.0,0.0,0.00011591563865111998,1.4887278559999992e-06
SC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.675998140686001e-05,0.0,0.0,0.0,0.0,8.316024491754001e-05,1.2057827879999998e-06
SD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.122989269836e-05,0.0,0.0,0.0,0.0,0.00011397010493357998,1.462328504e-06
TN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.453855164576e-05,0.0,0.0,0.0,0.0,0.00010600144105824,1.2819381119999993e-06
TX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.902502766534e-05,0.0,0.0,0.0,0.0,8.643090258054e-05,1.0573250239999997e-06
UT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.449771297438e-05,0.0,0.0,0.0,0.0,0.00016552193735952002,2.0419352800000004e-06
United States,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.257290435656e-05,0.0,0.0,0.0,0.0,0.00014066123149260003,1.5437622480000006e-06
VA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.703454866089001e-05,0.0,0.0,0.0,0.0,0.00010733128781571002,1.3140660259999998e-06
VT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.258491201198001e-05,0.0,0.0,0.0,0.0,0.00012466572929118,1.9000276259999992e-06
WA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.006530496971998e-05,0.0,0.0,0.0,0.0,0.00011307541895747999,1.4095463760000001e-06
WI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.165084441271e-05,0.0,0.0,0.0,0.0,0.00011672941888502997,1.5271525779999997e-06
WV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.671852950645001e-05,0.0,0.0,0.0,0.0,0.000127582131915,1.8422903100000003e-06
WY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1250583445e-05,0.0,0.0,0.0,0.0,5.4840895814250006e-05,8.4730555e-07
